"feature","Astro.L1.FGFR3.MT1G","Endo.L2.5.CLDN5","VLMC.L1.3.CYP1B1","Peri.L1.6.MUSTN1","Astro.L1.FGFR3.FOS","Oligo.L4.6.MOBP.COL18A1","OPC.L1.6.MYT1","Micro.L1.6.C1QC","Oligo.L4.6.OPALIN","Astro.L1.6.FGFR3.ETNPPL"
"SMC5-AS1",0,0,0,0,0,0,0,0,0,0
"SMC6",0.054036696,0,0,0.26708335,0.037678573,0.83047366,0.57565516,0,0.09209062,0.16559392
"SMCHD1",1.7045871,6.7488236,4.022,1.035,0.7433929,2.3218946,1.9654467,0.5867972,1.2120286,1.8186345
"SMCO1",0,0,0,0,0,0,0,0,0,0
"SMCO2",0,0,0,0,0,0,0,0,0,0
"SMCO3",0,0,0,0,0,0,0,0,0,0
"SMCO4",0.5952294,0.2425,0,0.12833333,0.52107143,0.1718421,0,0.030711744,0.04252381,0.09319061
"SMCO4P1",0,0,0,0,0,0,0,0,0,0
"SMCP",0,0,0,0,0,0,0,0,0,0
"SMCR5",0,0,0,0,0,0,0,0,0,0
"SMCR8",0,0,0,0,0,0,0,0,0,0
"SMDT1",0,0,0,0,0,0,0,0,0,0
"SMEK1",0.107363634,0.08,0,0,0.09089286,0.22378947,0.04836207,0.061032027,0.01089101,0.19747238
"SMEK2",0.35201836,0.042884614,0.0825,0.027916666,0.23071429,1.4836316,0.4118793,0.12522203,0.34252983,0.5332182
"SMEK3P",0,0,0,0,0,0,0,0,0,0
"SMG1",1.9355963,0.9369231,0.3925,0.49291667,1.2975,3.620315,0.8036035,0.8940569,1.1554575,3.7139003
"SMG1P1",0.11724771,0.4471154,0.4875,0.049583334,0.091785714,0.16815789,0.08527586,0.12735815,0.038257755,0.27077243
"SMG1P2",0,0.08230769,0,0,0,0,0,0,0,0
"SMG1P3",0.36669725,1.5130769,1.1575,0.27041668,0.49160713,0.38089475,0.24369416,0.34380782,0.2477027,0.6310621
"SMG1P4",0,0.08692308,0.14,0,0,0,0,0,0,0
"SMG1P5",0.13614678,0.5975,0,0,0.24947369,0.25921467,0.09275862,0.1517762,0.1222655,0.3503714
"SMG1P6",0.6311927,0.9361538,0.36125,0,0.51464283,0.47057894,0.3492069,0.30951956,0.2780668,0.9381768
"SMG1P7",0,0,0,0,0,0,0,0,0,0
"SMG5",0.034036696,0.011923077,0.2475,0,0.21339285,0.8134737,0.02937931,0,0.13424821,0.5960773
"SMG6",2.9754167,1.0403847,8,0.32625,3.647027,3.1733072,0.71951723,0.77017796,0.787494,3.4276605
"SMG7",0.26816514,0,0,0,0.34071428,0.34342104,0.059465516,0,0.063070804,0.7250967
